pos,Mean_peakvalue,Mean_peakwidth,Mean_widthhight,Mean_widthleft,Mean_widthright
96,-1.2840778247398699,158.2898628210507,-0.13348012518692798,0.0,158.2898628210507
207,1.8892684136537081,377.3984926477191,-1.28407782473987,96.0,473.3984926477191
393,-1.1130588043228764,78.85676774777244,0.9647790390464053,352.14323225222756,431.0
431,-0.9647790390464053,65.50180063878395,-1.1130588043228764,393.0,458.50180063878395
517,-1.5106270288921562,4523.224490966216,-1.8892684136537081,207.0,4730.224490966216
661,1.1861934432601304,901.7851936455274,-0.9669699852816993,569.2148063544703,1470.9999999999977
769,-0.9216916396901959,378.73163555520296,-1.0847256329509802,674.268364444797,1053.0
842,-0.2690468830830066,123.0792406674093,-0.8839223711660131,781.9207593325907,905.0
905,-0.8839223711660131,117.70383372259357,0.2690468830830066,842.0,959.7038337225936
1053,1.0847256329509802,687.8443609636256,-0.921691639690196,769.0,1456.8443609636256
1159,0.01801006013464052,18.858437183672777,-0.024524041440522865,1152.1415628163272,1171.0
1171,0.024524041440522865,22.27851421425089,0.01801006013464052,1159.0,1181.278514214251
1282,-0.48760139829673194,290.1630998828591,-0.6310744951385618,1090.8369001171402,1380.9999999999993
1381,0.631074495138562,146.8828988884709,-0.4876013982967319,1282.0000000000002,1428.8828988884711
1471,-0.9669699852816995,1427.852729836346,-1.1861934432601302,661.0000000000003,2088.8527298363465
1566,0.24342527693986932,160.00533196958145,-0.5335201123176472,1513.9946680304186,1674.0
1674,-0.5335201123176471,194.67061074176945,-0.24342527693986937,1566.0,1760.6706107417695
1818,0.9971080717686274,403.2899445081023,-0.6137578462294115,1509.7100554918975,1912.9999999999998
1913,-0.6137578462294117,264.74806053444445,-0.9971080717686273,1818.0,2082.7480605344444
1985,-0.28003536896470577,40.02913877206743,-0.3070977841457515,1969.9708612279326,2010.0
2010,-0.3070977841457515,38.34761344655453,0.28003536896470577,1985.0,2023.3476134465545
2117,1.5527432537322519,2975.8046863057266,-1.0110081974333338,567.1953136942734,3543.0
2209,-0.30351981125620914,162.85199869418057,-1.1557620290875816,2138.1480013058194,2301.0
2301,1.1557620290875816,285.64848384662946,-0.3035198112562092,2209.0,2494.6484838466295
